graph_id,vertices,edges,algorithm,total_cost,operations_count,execution_time_ms
1,5,5,Prim,10795,16,0.155
1,5,5,Kruskal,10795,22,0.022
2,10,22,Prim,17744,61,0.044
2,10,22,Kruskal,17744,54,0.015
3,15,52,Prim,29495,119,0.067
3,15,52,Kruskal,29495,200,0.041
4,20,95,Prim,35295,198,0.117
4,20,95,Kruskal,35295,183,0.048
5,25,150,Prim,41458,291,0.201
5,25,150,Kruskal,41458,266,0.062
6,30,217,Prim,50295,408,0.286
6,30,217,Kruskal,50295,558,0.098
7,50,612,Prim,79769,959,1.040
7,50,612,Kruskal,79769,1426,0.245
8,100,2475,Prim,156205,3256,2.505
8,100,2475,Kruskal,156205,14271,0.860
9,150,5587,Prim,229602,6952,2.476
9,150,5587,Kruskal,229602,7921,1.377
10,200,9950,Prim,304686,11923,4.813
10,200,9950,Kruskal,304686,12709,1.585
11,250,15562,Prim,379294,18105,9.315
11,250,15562,Kruskal,379294,23058,2.664
12,300,22425,Prim,454657,25558,14.961
12,300,22425,Kruskal,454657,45160,1.886
13,350,30537,Prim,529732,34320,19.389
13,350,30537,Kruskal,529732,74928,5.734
14,400,39900,Prim,603909,44303,30.886
14,400,39900,Kruskal,603909,83169,3.341
15,450,50512,Prim,679369,55391,40.321
15,450,50512,Kruskal,679369,133916,4.206
16,500,62375,Prim,754250,68134,62.339
16,500,62375,Kruskal,754250,135098,5.337
17,550,75487,Prim,829563,81802,75.845
17,550,75487,Kruskal,829563,195792,8.684
18,600,89850,Prim,904205,96657,151.433
18,600,89850,Kruskal,904205,211115,7.367
19,650,105462,Prim,978994,113175,171.755
19,650,105462,Kruskal,978994,446552,9.678
20,700,122325,Prim,1054072,130754,167.476
20,700,122325,Kruskal,1054072,258595,10.056
21,750,140437,Prim,1129123,149566,297.038
21,750,140437,Kruskal,1129123,474757,13.971
22,800,159800,Prim,1204258,169629,289.660
22,800,159800,Kruskal,1204258,329108,21.457
23,850,180412,Prim,1279253,190887,276.253
23,850,180412,Kruskal,1279253,353355,16.422
24,900,202275,Prim,1354434,213542,372.927
24,900,202275,Kruskal,1354434,820329,19.855
25,1000,249750,Prim,1504275,262467,508.683
25,1000,249750,Kruskal,1504275,539359,21.924
26,1300,422175,Prim,1953845,439338,3723.055
26,1300,422175,Kruskal,1953845,1455953,87.395
27,1500,562125,Prim,2253870,582664,3930.969
27,1500,562125,Kruskal,2253870,1536052,71.267
28,2000,999500,Prim,3003702,1027483,6293.134
28,2000,999500,Kruskal,3003702,2717815,210.954
